family	hw.model	board-id	serial.type	eee.code	bios.version	y1	y2	y3	y4
MacBook Pro	MacBookPro8,3	Mac-942459F5819B171B	12	DF92	MBP81.88Z.0047.B26.1110311252	2012	2011		
MacBook Pro	MacBookPro9,1	Mac-4B7AC7E43945597E	12	F1G4	MBP91.88Z.00D3.B00.1203211536	2013	2012		
MacBook Pro	MacBookPro9,2	Mac-6F01561E16C75D06	12	DTY3	MBP91.88Z.00D3.B00.1203211536	2013	2012		
MacBook Pro	MacBookPro10,1	Mac-C3EC7CD22292981F	12	DKQ1	MBP101.88Z.00EE.B00.1205101839	2013	2012		
MacBook Pro	MacBookPro11,1	Mac-189A3D4F975D5FFC	12	FGYY	MBP111.88Z.0138.B03.1310291227	2013			
MacBook Pro	MacBookPro11,2	Mac-3CBD00234E554E41	12	FD56	MBP112.88Z.0138.B02.1310181745	2013			
Mac mini	Macmini1,1	Mac-F4208EC8	11	U35	MM11.88Z.0055.B08.0610121326	2007	2006		
Mac mini	Macmini2,1	Mac-F4208EAA	11	YL2	MM21.88Z.009A.B00.0706281359	2007	2006		
Mac mini	Macmini3,1	Mac-F22C86C8	11	19X	MM31.88Z.00AD.B00.0907171535	2009			
Mac mini	Macmini4,1	Mac-F2208EC8	12	DD6H	MM41.88Z.0042.B03.1111072100	2011	2010		
Mac mini	Macmini5,1	Mac-8ED6AF5B48C039E1	12	DJD0	MM51.88Z.0077.B0F.1110201309	2012	2011		
Mac mini	Macmini6,2	Mac-F65AE981FFA204ED	12	DWYN	MM61.88Z.0106.B00.1208091121	2013	2012		
Mac Pro	MacPro2,1	Mac-F4208DC8	11	XYL	MP21.88Z.007F.B06.0707021348	2008	2007		
Mac Pro	MacPro3,1	Mac-F42C88C8	11	XYL	MP31.88Z.006C.B05.0802291410	2009	2008		
Mac Pro	MacPro4,1	Mac-F221BEC8	11	4PC	MP41.88Z.0081.B08.1001221313	2010	2009		
Mac Pro	MacPro5,1	Mac-F221BEC8	11	EUH	MP51.88Z.007F.B03.1010071432	2013	2012	2011	2010
Mac Pro	MacPro6,1	Mac-F60DEB81FF30ACF6	12	F693	MP61.88Z.0116.B04.1312061508	2013			
MacBook	MacBook2,1	Mac-F4208CA9	11	YA4	MB21.88Z.00A5.B07.0706270922	2007	2006		
MacBook	MacBook3,1	Mac-F22788C8	11	Y51	MB31.008E.B02.0803051832	2008	2007		
MacBook	MacBook4,1	Mac-F22788A9	11	0P0	MB41.88Z.00C1.B00.0802091535	2008			
MacBook	MacBook5,1	Mac-F42D89C8	11	1AQ	MB51.88Z.0073.B06.0810291326	2009	2008		
